link	volume	year	download_link
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Traditional-Herbal-Medicines-Some-Mycotoxins-Naphthalene-And-Styrene-2002	82	2002	https://publications.iarc.fr/_publications/media/download/2618/a48798b1acf1f630be9fcbb30ffb2d56b790c08d.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Man-made-Vitreous-Fibres-2002	81	2002	https://publications.iarc.fr/_publications/media/download/2602/6d4cb1852bd2640e7efa05cd140ad44be02b5b42.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Non-ionizing-Radiation-Part-1-Static-And-Extremely-Low-frequency-ELF-Electric-And-Magnetic-Fields-2002	80	2002	https://publications.iarc.fr/_publications/media/download/2587/3c82f294820f129b683b98668fd76246d5adcf58.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Thyrotropic-Agents-2001	79	2001	https://publications.iarc.fr/_publications/media/download/2559/201a17eeafae186aee07bc60ffcff93e4d65c3d5.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Ionizing-Radiation-Part-2-Some-Internally-Deposited-Radionuclides-2001	78	2001	https://publications.iarc.fr/_publications/media/download/2544/e9d01fd3586e7aeb5f1c2ec0867ab78640260f13.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Industrial-Chemicals-2000	77	2000	https://publications.iarc.fr/_publications/media/download/2519/d3673e35a0c40e4a03f2b642b6a5d50d59cac040.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Antiviral-And-Antineoplastic-Drugs-And-Other-Pharmaceutical-Agents-2000	76	2000	https://publications.iarc.fr/_publications/media/download/2500/cf0e3b51ce0f90bc752674747e88e98098488d57.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Ionizing-Radiation-Part-1-X--And-Gamma-γ--Radiation-And-Neutrons-2000	75	2000	https://publications.iarc.fr/_publications/media/download/2478/92f3f3dae13db694db661521a5015c1f81dc2509.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Surgical-Implants-And-Other-Foreign-Bodies-1999	74	1999	https://publications.iarc.fr/_publications/media/download/2464/573c4232001e4b66341a25627b182fb5d245714c.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Chemicals-That-Cause-Tumours-Of-The-Kidney-Or-Urinary-Bladder-In-Rodents-And-Some-Other-Substances-1999	73	1999	https://publications.iarc.fr/_publications/media/download/2435/eabe702c13ae4828853cb8fdb7fa652ae1d3b627.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Hormonal-Contraception-And-Post-menopausal-Hormonal-Therapy-1999	72	1999	https://publications.iarc.fr/_publications/media/download/2397/9b478544d483601efc2c7a03a44945f770fff659.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Re-evaluation-Of-Some-Organic-Chemicals-Hydrazine-And-Hydrogen-Peroxide-Part-1-Part-2-Part-3--1999	71	1999	https://publications.iarc.fr/_publications/media/download/2279/d7e4bcce9c42cec078b965c33b0298cf0a3aff3d.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Epstein-Barr-Virus-And-Kaposi’s-Sarcoma-Herpesvirus-Human-Herpesvirus-8-1997	70	1997	https://publications.iarc.fr/_publications/media/download/2254/6fb59d12ebf1aec6235f1ce4f61541557eb8c469.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Polychlorinated-Dibenzo--Em-Para-Em--Dioxins-And-Polychlorinated-Dibenzofurans-1997	69	1997	https://publications.iarc.fr/_publications/media/download/2229/e32ad597ed78c0a9bfcb88a3d5044790a6b1cfa5.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Silica-Some-Silicates-Coal-Dust-And-Em-Para-Em--Aramid-Fibrils-1997	68	1997	https://publications.iarc.fr/_publications/media/download/2209/c827e7f394b164692665d09c287f068d85cb2476.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Human-Immunodeficiency-Viruses-And-Human-T-Cell-Lymphotropic-Viruses-1996	67	1996	https://publications.iarc.fr/_publications/media/download/2186/1b959504813337ec7822f22920a17168e3057947.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Pharmaceutical-Drugs-1996	66	1996	https://publications.iarc.fr/_publications/media/download/2161/143ea3694ce8528c24549a322eda502171cea79a.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Printing-Processes-And-Printing-Inks-Carbon-Black-And-Some-Nitro-Compounds-1996	65	1996	https://publications.iarc.fr/_publications/media/download/2139/e700e57622433ed6ad04c91a83848257945835aa.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Human-Papillomaviruses-1995	64	1995	https://publications.iarc.fr/_publications/media/download/2123/bee7d6df2e74a2ae97da46783c58f47405d04c66.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Dry-Cleaning-Some-Chlorinated-Solvents-And-Other-Industrial-Chemicals-1995	63	1995	https://publications.iarc.fr/_publications/media/download/2095/e981a0a3bc62c95f6ed361ab42aa61bb6bded5db.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Wood-Dust-And-Formaldehyde-1995	62	1995	https://publications.iarc.fr/_publications/media/download/2071/0aee99510dc09d8d1d9eae95b4cc4205eac52f24.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Schistosomes-Liver-Flukes-And-Em-Helicobacter-Pylori-Em--1994	61	1994	https://publications.iarc.fr/_publications/media/download/2041/5c102d23efdf6b74fe03ce47ce92a82f28bd95d8.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Industrial-Chemicals-1994	60	1994	https://publications.iarc.fr/_publications/media/download/2017/91e1d37ff33b7285b94ec62e51e19cdd5107a549.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Hepatitis-Viruses-1994	59	1994	https://publications.iarc.fr/_publications/media/download/1986/ea9636d9c3b1d2db49e55de765cef8a28cd3791b.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Beryllium-Cadmium-Mercury-And-Exposures-In-The-Glass-Manufacturing-Industry-1993	58	1993	https://publications.iarc.fr/_publications/media/download/1954/ed5ada49ff1536d1474abdb982ee69583dbf1bc2.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Occupational-Exposures-Of-Hairdressers-And-Barbers-And-Personal-Use-Of-Hair-Colourants-Some-Hair-Dyes-Cosmetic-Colourants-Industrial-Dyestuffs-And-Aromatic-Amines-1993	57	1993	https://publications.iarc.fr/_publications/media/download/1925/bceefad918b95f5faecc3bf7b963024344638137.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Naturally-Occurring-Substances-Food-Items-And-Constituents-Heterocyclic-Aromatic-Amines-And-Mycotoxins-1993	56	1993	https://publications.iarc.fr/_publications/media/download/1901/a815bd2f53a323de205a5e997377bc38cc80e4b9.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Solar-And-Ultraviolet-Radiation-1992	55	1992	https://publications.iarc.fr/_publications/media/download/1884/4a87c098b4b16dbb0dc18bd9a975ccffc8d8cc64.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Occupational-Exposures-To-Mists-And-Vapours-From-Strong-Inorganic-Acids-And-Other-Industrial-Chemicals-1992	54	1992	https://publications.iarc.fr/_publications/media/download/1867/612f3ecf4ec20112f8e6e4ee3936d8d7e92f0809.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Occupational-Exposures-In-Insecticide-Application-And-Some-Pesticides-1991	53	1991	https://publications.iarc.fr/_publications/media/download/1840/e90c44e8aa748969d91fe8686411f1b8fc8ae97c.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Chlorinated-Drinking-water-Chlorination-By-products-Some-Other-Halogenated-Compounds-Cobalt-And-Cobalt-Compounds-1991	52	1991	https://publications.iarc.fr/_publications/media/download/1818/43d2053bbccf5e9753b5f7443f85d1ce345489bf.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Coffee-Tea-Mate-Methylxanthines-And-Methylglyoxal-1991	51	1991	https://publications.iarc.fr/_publications/media/download/1788/e371b17a6693a0a898c8b256a677f333a6fba9ce.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Pharmaceutical-Drugs-1990	50	1990	https://publications.iarc.fr/_publications/media/download/1762/cfd087ee166e20b236c8bc811e37bb5bb44f6247.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Chromium-Nickel-And-Welding-1990	49	1990	https://publications.iarc.fr/_publications/media/download/1733/eecfae43dda41748c6c7268b93a6c2d1009a5acc.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Flame-Retardants-And-Textile-Chemicals-And-Exposures-In-The-Textile-Manufacturing-Industry-1990	48	1990	https://publications.iarc.fr/_publications/media/download/1709/881669f4cc4d85c2326c30b21bf6e5928966f367.pdf
